payment_id,timestamp,settlement_time,payment_system,counterparty_type,direction,amount,cluster
PAY-001955,2024-01-15 07:00:20.542268961,2024-01-15 07:05:05.543750880,TARGET2,CORPORATE,OUTFLOW,54279.88,1
PAY-000171,2024-01-15 07:00:48.829275471,2024-01-15 07:05:49.524913685,SECURITIES,BANK,OUTFLOW,387084.29,3
PAY-000314,2024-01-15 07:01:05.764023922,2024-01-15 07:08:40.107535553,INTERNAL,CORPORATE,INFLOW,71984.75,0
PAY-001482,2024-01-15 07:01:31.427394434,2024-01-15 07:10:15.746425141,SECURITIES,CORPORATE,OUTFLOW,134509.16,1
PAY-000682,2024-01-15 07:01:46.514821571,2024-01-15 07:07:38.191475830,TARGET2,BANK,OUTFLOW,565839.3,3
PAY-001305,2024-01-15 07:02:38.701147440,2024-01-15 07:07:29.764049556,SWIFT,BANK,OUTFLOW,37156.24,3
PAY-000135,2024-01-15 07:02:58.204947610,2024-01-15 07:09:17.980497846,SWIFT,CENTRAL_BANK,INFLOW,892673.85,2
PAY-000388,2024-01-15 07:03:07.759159310,2024-01-15 07:06:07.400748978,INTERNAL,CORPORATE,INFLOW,113771.13,0
PAY-001525,2024-01-15 07:03:35.021431496,2024-01-15 07:08:56.899966627,SECURITIES,CCP,OUTFLOW,437449.64,3
PAY-000802,2024-01-15 07:04:49.652469203,2024-01-15 07:12:32.590371535,TARGET2,BANK,OUTFLOW,87004.12,3
PAY-001328,2024-01-15 07:04:51.545882139,2024-01-15 07:08:42.434359043,INTERNAL,BANK,INFLOW,238747.18,0
PAY-001122,2024-01-15 07:04:57.278498879,2024-01-15 07:12:33.284716995,TARGET2,BANK,OUTFLOW,79636.94,3
PAY-001298,2024-01-15 07:05:19.068110921,2024-01-15 07:15:06.921342350,TARGET2,BANK,OUTFLOW,714989.68,3
PAY-000342,2024-01-15 07:06:06.687360116,2024-01-15 07:07:55.361330416,INTERNAL,CENTRAL_BANK,OUTFLOW,35268.38,0
PAY-000939,2024-01-15 07:07:04.814741036,2024-01-15 07:09:12.104278238,SECURITIES,CORPORATE,OUTFLOW,504557.18,1
PAY-000319,2024-01-15 07:08:07.186361188,2024-01-15 07:13:45.253810837,TARGET2,CCP,OUTFLOW,20117.41,3
PAY-001096,2024-01-15 07:08:13.807166472,2024-01-15 07:16:56.152500572,SWIFT,CORPORATE,OUTFLOW,119271.6,1
PAY-001303,2024-01-15 07:08:52.813726251,2024-01-15 07:12:33.160644672,SWIFT,CORPORATE,OUTFLOW,17493.31,1
PAY-000619,2024-01-15 07:09:11.876993244,2024-01-15 07:11:56.305087550,SECURITIES,BANK,INFLOW,1924501.69,0
PAY-000759,2024-01-15 07:09:41.440604978,2024-01-15 07:13:12.764863728,SWIFT,CORPORATE,OUTFLOW,406998.29,1
PAY-000992,2024-01-15 07:10:00.777552886,2024-01-15 07:14:14.820631226,SWIFT,BANK,OUTFLOW,51152.68,3
PAY-000163,2024-01-15 07:10:56.560155143,2024-01-15 07:19:15.143053142,TARGET2,CCP,OUTFLOW,19575.66,3
PAY-000674,2024-01-15 07:11:39.683727596,2024-01-15 07:18:30.256601950,SWIFT,BANK,OUTFLOW,90407.3,3
PAY-000615,2024-01-15 07:11:46.336645488,2024-01-15 07:16:50.833387848,INTERNAL,CORPORATE,OUTFLOW,175150.06,1
PAY-001043,2024-01-15 07:11:59.157539008,2024-01-15 07:17:06.509151481,TARGET2,BANK,INFLOW,694360.83,2
PAY-000507,2024-01-15 07:12:33.752253572,2024-01-15 07:20:56.490219354,TARGET2,BANK,OUTFLOW,15589.73,3
